Afrikaans;af;afr
Albanian;sq;sqi
Amharic;am;amh
Arabic;ar;ara
Armenian;hy;hye
Azerbaijani;az;aze
Belarusian;be;bel
Bengali;bn;ben
Bosnian;bs;bos
Bulgarian;bg;bul
Burmese;my;mya
Catalan;ca;cat
Croatian;hr;hrv
Czech;cs;ces
Danish;da;dan
Dutch;nl;nld
Dzongkha;dz;dzo
English;en;eng
Estonian;et;est
Finnish;fi;fin
French;fr;fra
Georgian;ka;kat
German;de;deu
Greek;el;ell
Haitian Creole;ht;hat
Hebrew;he;heb
Hindi;hi;hin
Hungarian;hu;hun
Icelandic;is;isl
Indonesian;id;ind
Irish;ga;gle
Italian;it;ita
Japanese;ja;jpn
Kazakh;kk;kaz
Khmer;km;khm
Korean;ko;kor
Kyrgyz;ky;kir
Lao;lo;lao
Latin;la;lat
Latvian;lv;lav
Lithuanian;lt;lit
Luxembourgish;lb;ltz
Macedonian;mk;mkd
Malay;ms;msa
Maldivian;dv;div
Maltese;mt;mlt
Māori;mi;mri
Moldavian;ro;ron
Mongolian;mn;mon
Nepali;ne;nep
Pashto;ps;pus
Persian (Farsi);fa;fas
Polish;pl;pol
Portuguese;pt;por
Quechua;qu;que
Romanian;ro;ron
Russian;ru;rus
Serbian;sr;srp
Sinhala;si;sin
Slovak;sk;slk
Slovene;sl;slv
Spanish;es;spa
Swahili;sw;swa
Swedish;sv;swe
Tajik;tg;tgk
Tamil;ta;tam
Thai;th;tha
Tigrinya;ti;tir
Tongan;to;ton
Turkish;tr;tur
Ukrainian;uk;ukr
Urdu;ur;urd
Uzbek;uz;uzb
Vietnamese;vi;vie
