Version;SupportBegin;SupportEnd
1.0.0;2024-12-27T21:38:51;2027-01-27T21:38:51
1.1.0;2025-07-06T00:00:00;2027-10-05T00:00:00
1.1.1;2025-07-28T00:00:00;2027-10-27T00:00:00
1.2.0;2025-09-20T00:00:00;2027-12-20T00:00:00
1.1.2;2025-10-11T00:00:00;2027-01-10T00:00:00
1.1.3;2025-10-14T00:00:00;2027-01-13T00:00:00
1.1.4;2025-10-24T00:00:00;2027-01-23T00:00:00
1.1.5;2025-11-03T00:00:00;2027-02-02T00:00:00
2.0.0;2025-11-09T00:00:00;2027-02-08T00:00:00
2.0.1;2025-11-25T00:00:00;2027-02-24T00:00:00
2.0.2;2025-11-29T00:00:00;2027-02-28T00:00:00
2.0.3;2025-12-18T00:00:00;2027-03-19T00:00:00
2.0.4;2025-12-22T00:00:00;2027-03-23T00:00:00
2.0.5;2026-01-02T00:00:00;2027-04-03T00:00:00
3.0.0;2026-01-06T00:00:00;2027-04-07T00:00:00
3.0.1;2026-01-08T00:00:00;2027-04-09T00:00:00
3.0.2;2026-01-09T00:00:00;2027-04-10T00:00:00
3.0.3;2026-01-10T00:00:00;2027-04-11T00:00:00
3.0.4;2026-01-25T00:00:00;2027-04-26T00:00:00
